code,mid,currency
THB,0.1197,bat (Tajlandia)
USD,4.4062,dolar amerykański
AUD,2.8101,dolar australijski
HKD,0.5629,dolar Hongkongu
CAD,3.2644,dolar kanadyjski
NZD,2.619,dolar nowozelandzki
SGD,3.2131,dolar singapurski
EUR,4.634,euro
HUF,0.011788,forint (Węgry)
CHF,4.7973,frank szwajcarski
GBP,5.3631,funt szterling
UAH,0.1193,hrywna (Ukraina)
JPY,0.029497,jen (Japonia)
CZK,0.1901,korona czeska
DKK,0.6215,korona duńska
ISK,0.031981,korona islandzka
NOK,0.4109,korona norweska
SEK,0.3991,korona szwedzka
RON,0.9314,lej rumuński
BGN,2.3693,lew (Bułgaria)
TRY,0.1607,lira turecka
ILS,1.1461,nowy izraelski szekel
CLP,0.004847,peso chilijskie
PHP,0.0772,peso filipińskie
MXN,0.2488,peso meksykańskie
ZAR,0.2293,rand (Republika Południowej Afryki)
BRL,0.8735,real (Brazylia)
MYR,0.9359,ringgit (Malezja)
IDR,2.839E-4,rupia indonezyjska
INR,0.052962,rupia indyjska
KRW,0.003249,won południowokoreański
CNY,0.6033,yuan renminbi (Chiny)
XDR,5.7672,SDR (MFW)
